driver_name,driver_id,race_date,series,track_name,start,mid,finish,best,worst,avg,green_flag_passing_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,laps,rating,status,stage_1,stage_2,stage_3,team_name,manufacturer,track_type
Kyle Larson,4030,3/12/2023,Cup,Phoenix Raceway,1,1,4,1,14,1.39,-5,29,34,9,31.03448275862069,54,317,100,201,63.40694006309148,317,139.02,running,2,1,,Hendrick Motorsports,Chevrolet,short intermediate
Martin Truex Jr.,3368,3/12/2023,Cup,Phoenix Raceway,13,18,17,11,24,17.97,0,90,90,6,6.666666666666667,0,31,9.779179810725552,0,0,317,66.67,running,17,17,,Joe Gibbs Racing,Toyota,short intermediate
Michael McDowell,3832,3/12/2023,Cup,Phoenix Raceway,7,22,13,2,25,15.86,-3,94,97,38,40.42553191489362,2,180,56.782334384858046,0,0,317,77.29,running,12,21,,Front Row Motorsports,Ford,short intermediate
Noah Gragson,4224,3/12/2023,Cup,Phoenix Raceway,32,25,29,24,32,27.03,2,91,89,0,0,1,0,0,0,0,316,43.06,running,26,25,,Legacy Motor Club,Chevrolet,short intermediate
Ricky Stenhouse Jr.,3888,3/12/2023,Cup,Phoenix Raceway,23,28,19,17,34,25.61,5,107,102,1,0.9345794392523364,9,0,0,0,0,317,55.89,running,25,26,,JTG Daugherty Racing,Chevrolet,short intermediate
Ross Chastain,4001,3/12/2023,Cup,Phoenix Raceway,6,8,24,1,24,8.52,-24,71,95,46,64.78873239436619,7,313,98.73817034700315,1,0.31545741324921134,317,82.49,running,7,9,,Trackhouse Racing,Chevrolet,short intermediate
Ryan Blaney,4023,3/12/2023,Cup,Phoenix Raceway,8,9,2,2,18,7.46,8,71,63,40,56.33802816901409,11,315,99.36908517350157,0,0,317,102.51,running,6,8,,Team Penske,Ford,short intermediate
Ryan Preece,4070,3/12/2023,Cup,Phoenix Raceway,25,17,12,3,28,18.88,11,114,103,20,17.54385964912281,0,29,9.148264984,0,0,317,66.17,running,23,16,,Stewart-Haas Racing,Ford,short intermediate
Todd Gilliland,4231,3/12/2023,Cup,Phoenix Raceway,29,32,32,27,34,32.79,-7,38,45,0,0,0,0,0,0,0,314,29.17,running,34,32,,Rick Ware Racing,Ford,short intermediate
Ty Dillon,4013,3/12/2023,Cup,Phoenix Raceway,35,31,30,27,36,31.74,6,54,48,0,0,0,0,0,0,0,315,33.17,running,33,31,,Spire Motorsports,Chevrolet,short intermediate
Ty Gibbs,4368,3/12/2023,Cup,Phoenix Raceway,14,19,28,10,29,19.29,-9,69,78,17,24.63768115942029,2,58,18.354430379746834,0,0,316,55.96,running,19,19,,Joe Gibbs Racing,Toyota,short intermediate
